feature,importance
group_11635,0.00036000732387533077
lafV,0.0003585308777816343
rafB,0.00035813431341384595
marR_2,0.00035796434383763773
pptE,0.00035743616606165443
group_575,0.0003572431481633191
group_4143,0.00035722951833451667
group_16950,0.00035490188360263086
group_12407,0.0003547193255545075
group_816,0.00035430925127678884
group_7262,0.00035332428861368777
lpfA,0.0003529933671155385
group_6195,0.000352911768973031
group_481,0.00035247885500685783
yeiI,0.00035176941310984086
group_135,0.00035131536462599253
group_8526,0.0003502779493690539
group_7504,0.0003494890107485845
group_6269,0.0003493280347217758
group_16845,0.0003445198144277398
group_11128,0.0003439856919142471
group_9259,0.00034324793636986454
group_14980,0.00034239373694907455
group_16935,0.0003423405859434453
macB_2,0.00034210044514800095
ampC_1,0.00034177592600262744
group_16762,0.00034167835384526786
pinR,0.00034164542463155346
group_16745,0.000341546397907841
wcaI_2,0.00033970211752187043
fhuD_1,0.00033833694014960656
group_5887,0.00033754661656133935
parM,0.0003372313029111659
ydjO,0.00033638559964366743
paaI,0.0003358411693464404
cvaB,0.00033562812588822745
papC_2,0.00033476510497904683
group_16919,0.0003346626081375111
hsdM,0.0003343700541606931
xapA,0.0003303739119684728
ulaA_2,0.00033006140261610813
group_845,0.0003292904829050185
imm_3,0.0003272222929990305
group_8477,0.0003269243331261705
cjrB,0.00032658659237544234
group_4631,0.0003264405674015179
bla,0.0003264042197871097
mutE,0.000325962112195591
group_5937,0.0003258989171454476
icsA_1,0.00032582371334153747
pduV,0.00032571686667949644
urf2,0.0003250149641772031
yghJ_2,0.0003237978873820293
pic,0.0003224216182286596
group_11206,0.0003216157542725992
group_1020,0.000321343576970634
group_11218,0.00032033899215623947
group_9280,0.0003200233319248736
group_3376,0.00031990505664947823
eutL_1,0.0003190556832816133
dpnM,0.0003189623104672152
group_4933,0.0003185661910765854
hin,0.0003174793024386705
rhmR,0.00031515349709178764
focB,0.0003128196713880423
group_1577,0.00031260509543357904
group_2889,0.0003125069457410304
fecR,0.00031227655828619825
group_557,0.000311767919824133
higB,0.00031153800859451636
group_769,0.00031090067797486106
group_832,0.0003108159755406353
insEF-4_2,0.00031060633876559956
group_19831,0.0003096269461003546
C,0.0003085886448540271
group_12452,0.0003085391765835874
group_567,0.0003081132501667139
ycjO,0.00030764572496465065
group_912,0.000307627501872996
group_30624,0.00030661630950919866
icaB_2,0.00030647501483701964
ibrA_2,0.0003043521755603962
yvdM,0.00030430524100315054
group_3478,0.0003042418285233878
group_5139,0.0003024663839473996
yhaH_2,0.00030120478848020193
mipA_2,0.00030119010027623323
group_3662,0.00029976664635344486
gspI,0.00029927304804704623
group_2439,0.000298080863665941
group_73,0.00029799945543337706
yagE,0.00029768126959421495
group_1859,0.00029764037114136493
nanR1,0.0002963601518951246
group_11908,0.00029618940493257074
flu_1,0.0002956989002775959
lsrK_2,0.0002953429153280099
group_17429,0.00029507800040860414
pipB2,0.0002948372673329753
bin3,0.00029402092167374647
dpnA,0.00029397814180497485
group_7059,0.0002939395696161278
pppA,0.0002930033717260709
yafQ,0.0002928417565809271
group_6976,0.00029166383981793986
gspF_1,0.000291465567922322
pepT_2,0.00029033191976319465
tynA,0.0002890102547716308
group_5121,0.0002883439913500348
aadA1,0.00028752010815215367
group_12336,0.0002870550685544402
hpaB,0.0002857605491693384
ybl63_1,0.0002847469120303791
yjhG,0.000283315550663489
group_968,0.0002831556107303986
ydfA,0.0002830340992624446
group_20015,0.00028293016645409874
group_3540,0.0002828426104242528
group_19583,0.0002822420547994083
group_3472,0.00028178930780621564
idhA,0.00028163125484389687
deoM,0.00028132342712499785
group_2432,0.0002811164724327067
group_1773,0.00028063665863375763
rihB_2,0.0002800759707420041
group_11227,0.00027977197679624513
S,0.0002797558775043051
group_361,0.00027949988090726044
malY_2,0.0002794838077437058
group_11035,0.0002794566237491234
ykfF_2,0.00027919541717601475
group_5857,0.00027907915183426223
group_7329,0.00027880902781657823
group_17471,0.00027880261677231327
gpT,0.0002784107289665604
group_1478,0.0002779507839404617
group_6130,0.0002776260337227714
group_5043,0.0002774937263299951
group_5935,0.00027710141926478606
sulI,0.0002762419141178918
shlA,0.00027542226686659083
mrpA_2,0.0002753574820953134
tnsB,0.00027521591420118593
intB,0.00027471388409944507
lsrB_1,0.0002744491743144262
racR,0.000274383527154001
tnpR,0.0002741473763551767
group_20024,0.00027400375699505994
group_5131,0.0002730246160660428
group_17191,0.00027209407884894285
essD,0.00027208136038188945
group_11283,0.0002720732800162931
group_11036,0.0002711529227970139
celA,0.0002704716110887716
group_8833,0.0002704609067184841
pptA,0.0002697465016420209
arsA,0.00026937729486157787
group_2588,0.00026854003017464084
group_11071,0.00026844198533198626
